순번,검진기관명,일반,영유아,구강,위암,대장암,간암,유방암,자궁경부암,폐암
19859,신효경산부인과의원,,,,,,,내원,내원,
19860,광명연합의원,내원,,,내원,,,,,
19861,광명연세내과의원,내원,,,내원,,내원,,,
19862,준소아청소년과의원,,내원,,,,,,,
19863,오성욱의원,내원,,,내원,내원,내원,,,
19864,광명메디피아의원,내원,,,내원,내원,내원,,,
19865,연세가정의학과의원,,내원,,,,,,,
19866,이지의원,내원,,,내원,내원,내원,내원,내원,
19867,연합뉴소아청소년과의원,,내원,,,,,,,
19868,정다운이비인후과의원,,내원,,,,,,,
19869,배헌욱치과의원,,,내원,,,,,,
19870,소하치과의원,,,내원,,,,,,
19871,광명뉴욕치과의원,,,내원,,,,,,
19872,광명리빙웰치과의원,,,내원,,,,,,
19873,안재현치과의원,,,내원,,,,,,
19874,박동관치과의원,,,내원,,,,,,
19875,이상용치과의원,,,내원,,,,,,
19876,베스트치과의원,,,내원,,,,,,
19877,민치과의원,,,내원,,,,,,
19878,유춘식치과의원,,,내원,,,,,,
19879,중앙치과의원,,,내원,,,,,,
19880,제일치과의원,,,내원,,,,,,
19881,광명치과의원,,,내원,,,,,,
19882,에스앤피서울치과의원,,,내원,,,,,,
19883,정광태치과의원,,,내원,,,,,,
19884,아름다운치과의원,,,내원,,,,,,
19885,우리치과의원,,,내원,,,,,,
19886,캘리포니아치과의원,,,내원,,,,,,
19887,스마일치과의원,,,내원,,,,,,
19888,미치과의원,,,내원,,,,,,
19889,건강치과의원,,,내원,,,,,,
19890,광명웰치과의원,,,내원,,,,,,
19891,광명이사랑치과의원,,,내원,,,,,,
19892,한사랑치과의원,,,내원,,,,,,
19893,철산이편한치과의원,,,내원,,,,,,
19894,명인치과의원,,,내원,,,,,,
19895,이앤치과의원,,,내원,,,,,,
19896,유디광명치과의원,,,내원,,,,,,
19897,조은부부치과의원,,,내원,,,,,,
19898,미래치과의원,,,내원,,,,,,
19899,밝은아이치과의원,,,내원,,,,,,
19900,이편한68플란트치과의원,,,내원,,,,,,
19901,수치과의원,,,내원,,,,,,
19902,벗치과의원,,,내원,,,,,,
19903,본플란트치과의원,,,내원,,,,,,
19904,하이치과의원,,,내원,,,,,,
19905,송승헌치과의원,,,내원,,,,,,
19906,임플란티아치과의원,,,내원,,,,,,
19907,하나치과의원,,,내원,,,,,,
19908,디자인치과의원,,,내원,,,,,,
19909,닥터김치과의원,,,내원,,,,,,
19910,김재원치과의원,,,내원,,,,,,
19911,예그린치과의원,,,내원,,,,,,
19912,연세자연치과의원,,,내원,,,,,,
19913,서울앞선치과의원,,,내원,,,,,,
19914,강남이편한치과의원,,,내원,,,,,,
19915,연세문치과의원,,,내원,,,,,,
19916,현치과의원,,,내원,,,,,,
19917,진치과의원,,,내원,,,,,,
19918,서울굿모닝치과의원,,,내원,,,,,,
19919,서울선치과의원,,,내원,,,,,,
19920,서울애플치과의원,,,내원,,,,,,
19921,소연치과의원,,,내원,,,,,,
19922,이그린치과의원,,,내원,,,,,,
19923,키즈웰치과의원,,,내원,,,,,,
19924,해오름치과의원,,,내원,,,,,,
19925,서울율바른치과의원,,,내원,,,,,,
19926,서울삼성치과의원,,,내원,,,,,,
19927,서울청담치과의원,,,내원,,,,,,
19928,하안봄치과의원,,,내원,,,,,,
19929,사랑심는치과의원,,,내원,,,,,,
19930,엠플란트치과의원,,,내원,,,,,,
19931,한솔치과의원,,,내원,,,,,,
19932,연세보스톤치과의원,,,내원,,,,,,
19933,서울센터치과의원,,,내원,,,,,,
19934,케이플란트치과의원,,,내원,,,,,,
19935,55서하플란트치과의원,,,내원,,,,,,
19936,바른에스치과교정과치과의원,,,내원,,,,,,
19937,소하바른치과의원,,,내원,,,,,,
19938,서울감동치과의원,,,내원,,,,,,
19939,하안치과의원,,,내원,,,,,,
19940,광명이케어치과의원,,,내원,,,,,,
19941,연세365치과의원,,,내원,,,,,,
19942,이안치과의원,,,내원,,,,,,
19943,더바른윤치과의원,,,내원,,,,,,
19944,하안새론니치과의원,,,내원,,,,,,
19945,광명주니어소아치과의원,,,내원,,,,,,
19946,서울임플나무치과의원,,,내원,,,,,,
19947,연세구름소아치과의원,,,내원,,,,,,
19948,서울메디치과의원,,,내원,,,,,,
19949,탑티어치과의원,,,내원,,,,,,
19950,서울김앤장치과의원,,,내원,,,,,,
19951,광명탑치과의원,,,내원,,,,,,
19952,서울스마트치과의원,,,내원,,,,,,
19953,광명리더스치과의원,,,내원,,,,,,
19954,연세에스케이치과의원,,,내원,,,,,,
19955,다인치과의원,,,내원+출장,,,,,,
19956,이든치과의원,,,내원,,,,,,
19957,지디플란트치과의원,,,내원,,,,,,
19958,더미소치과의원,,,내원,,,,,,
19959,광명더맑은치과의원,,,내원,,,,,,
19960,서울플란트치과의원,,,내원,,,,,,
19961,서울새봄플란트치과의원,,,내원,,,,,,
19962,내가가는광명치과의원,,,내원,,,,,,
19963,열린치과의원,,,내원,,,,,,
19964,강내과의원,내원,,,내원,내원,내원,내원,내원,
19965,광명수내과의원,내원,,,내원,내원,내원,,,
19966,이즈맘산부인과의원,,내원,,,,,내원,내원,
19967,가족사랑의원,,내원,,,,,,,
19968,성모길내과의원,내원,,,내원,내원,내원,,,
19969,광명허병원내과의원,내원,,,내원,내원,내원,,,
19970,지엠제일산부인과의원,내원,,,,,,내원,내원,
19971,연세튼튼소아청소년과의원,,내원,,,,,,,
19972,별이비인후과의원,,내원,,,,,,,
19973,서울아산임내과의원,내원,,,내원,내원,내원,,,
19974,성모내과의원,내원,,,내원,내원,내원,내원,내원,
19975,왕내과의원,내원,,,내원,내원,내원,내원,내원,
19976,광명방사선과의원,내원,,,내원,,내원,내원,내원,
19977,서울연합내과의원,내원,,,내원,내원,내원,내원,내원,
19978,오내과의원,내원,,,내원,내원,내원,내원,내원,
